|;Especie;|;Conteo;|;GA;|;Tendencia ;|;Sitio ;|;Estatus;|
|;----;|;----;|;----;|;----;|;----;|;----;|
|;Dendrocygna autumnalis;|;3;|;LC;|;C;|;A;|;R;|
|;Spatula discors;|;72;|;LC;|;DECRE;|;B;|;M;|
|;Tachybaptus dominicus;|;1;|;LC;|;E;|;B;|;R;|
|;Patagioenas flavirostris;|;12;|;LC;|;DECRE;|;A;|;R;|
|;Columbina inca;|;5;|;LC;|;C;|;A;|;R;|
|;Columbina talpacoti;|;6;|;LC;|;C;|;A;|;R;|
|;Leptotila verreauxi;|;2;|;LC;|;C;|;A;|;RM;|
|;Zenaida asiatica;|;1;|;LC;|;C;|;A;|;RM;|
|;Zenaida macroura;|;3;|;LC;|;C;|;B;|;RM;|
|;Piaya cayana;|;1;|;LC;|;E;|;A;|;R;|
|;Amazilia saucerottei;|;1;|;LC;|;C;|;A;|;R;|
|;Amazilia tzacatl;|;5;|;LC;|;DESC;|;A;|;R;|
|;Gallinula galeata;|;3;|;LC;|;E;|;B;|;RM;|
|;Fulica americana;|;9;|;LC;|;DECRE;|;B;|;RM;|
|;Himantopus mexicanus;|;28;|;LC;|;C;|;B;|;RM;|
|;Vanellus chilensis;|;22;|;LC;|;C;|;B;|;R;|
|;Charadrius vociferus;|;1;|;LC;|;DECRE;|;B;|;RM;|
|;Jacana spinosa;|;13;|;LC;|;DESC;|;B;|;R;|
|;Ardea alba;|;3;|;LC;|;DESC;|;B;|;RM;|
|;Egretta thula;|;2;|;LC;|;C;|;A;|;RM;|
|;Egretta caerulea;|;6;|;LC;|;DECRE;|;A;|;RM;|
|;Bubulcus ibis;|;60;|;LC;|;C;|;A;|;RM;|
|;Butorides virescens;|;3;|;LC;|;DECRE;|;A;|;RM;|
|;Coragyps atratus;|;9;|;LC;|;C;|;A;|;R;|
|;Cathartes aura;|;2;|;LC;|;E;|;A;|;RM;|
|;Elanus leucurus;|;1;|;LC;|;C;|;A;|;R;|
|;Spizaetus tyrannus;|;1;|;LC;|;DECRE;|;A;|;R;|
|;Rupornis magnirostris;|;2;|;LC;|;C;|;A;|;R;|
|;Buteo platypterus;|;1;|;LC;|;C;|;A;|;M;|
|;Buteo brachyurus;|;1;|;LC;|;C;|;A;|;RM;|
|;Momotus lessonii;|;1;|;LC;|;DECRE;|;A;|;R;|
|;Melanerpes hoffmannii;|;6;|;LC;|;C;|;A;|;REND;|
|;Milvago chimachima;|;1;|;LC;|;C;|;A;|;R;|
|;Zimmerius parvus;|;1;|;LC;|;E;|;A;|;R;|
|;Sayornis nigricans;|;4;|;LC;|;C;|;A;|;R;|
|;Pitangus sulphuratus;|;8;|;LC;|;C;|;A;|;R;|
|;Myiozetetes similis;|;6;|;LC;|;E;|;A;|;R;|
|;Tyrannus melancholicus;|;1;|;LC;|;C;|;A;|;R;|
|;Psilorhinus morio;|;7;|;LC;|;C;|;A;|;R;|
|;Pygochelidon cyanoleuca;|;5;|;LC;|;C;|;A;|;RM;|
|;Stelgidopteryx serripennis;|;1;|;LC;|;DECRE;|;A;|;RM;|
|;Troglodytes aedon;|;2;|;LC;|;C;|;A;|;R;|
|;Cantorchilus modestus;|;4;|;LC;|;DESC;|;A;|;R;|
|;Catharus aurantiirostris;|;3;|;LC;|;DESC;|;A;|;R;|
|;Spinus psaltria;|;3;|;LC;|;DECRE;|;A;|;R;|
|;Spinus xanthogastrus;|;2;|;LC;|;DECRE;|;A;|;R;|
|;Zonotrichia capensis;|;24;|;LC;|;E;|;A;|;R;|
|;Melozone cabanisi;|;1;|;LC;|;C;|;A;|;REND;|
|;Sturnella magna;|;8;|;MELA;|;C;|;B;|;R;|
|;Psarocolius montezuma;|;6;|;;|;E;|;A;|;R;|
|;Icterus galbula;|;5;|;LC;|;E;|;A;|;M;|
|;Dives dives;|;6;|;LC;|;C;|;A;|;R;|
|;Quiscalus mexicanus;|;46;|;LC;|;E;|;B;|;R;|
|;Parkesia motacilla;|;1;|;LC;|;C;|;A;|;M;|
|;Oreothlypis peregrina;|;4;|;LC;|;DESC;|;A;|;M;|
|;Geothlypis philadelphia;|;1;|;LC;|;DECRE;|;A;|;M;|
|;Setophaga petechia;|;1;|;LC;|;E;|;A;|;RM;|
|;Basileuterus rufifrons;|;2;|;LC;|;E;|;A;|;R;|
|;Cardellina pusilla;|;1;|;LC;|;DECRE;|;A;|;M;|
|;Piranga rubra;|;4;|;LC;|;E;|;A;|;M;|
|;Sporophila morelleti;|;1;|;LC;|;C;|;A;|;R;|
|;Passer domesticus;|;12;|;LC;|;DECRE;|;B;|;R;|
